Date,Price,Open,High,Low,Vol.,Change %
12/4/2019,"15,511.90","15,366.90","15,598.90","15,366.90",521.41K,0.75%
12/3/2019,"15,395.90","15,308.90","15,424.90","15,135.00",656.63K,0.57%
12/2/2019,"15,308.90","15,308.90","15,366.90","15,279.90",705.01K,0.00%
11/29/2019,"15,308.90","15,366.90","15,366.90","15,279.90",544.68K,-0.19%
11/28/2019,"15,337.90","15,337.90","15,366.90","15,250.90",692.33K,0.00%
11/27/2019,"15,337.90","15,395.90","15,395.90","15,279.90",449.19K,-0.38%
11/26/2019,"15,395.90","15,279.90","15,424.90","15,279.90",399.49K,0.76%
11/25/2019,"15,279.90","15,250.90","15,366.90","15,250.90",338.17K,0.38%
11/22/2019,"15,221.90","15,192.90","15,830.80","15,192.90",1.13M,0.00%
11/21/2019,"15,221.90","15,077.00","15,482.90","15,077.00",1.47M,0.77%
11/20/2019,"15,106.00","15,019.00","15,135.00","15,019.00",256.97K,0.19%
11/19/2019,"15,077.00","15,077.00","15,106.00","14,903.00",520.35K,-0.19%
11/18/2019,"15,106.00","15,135.00","15,279.90","15,019.00",405.02K,-0.57%
11/15/2019,"15,192.90","15,366.90","15,366.90","15,164.00",200.46K,0.00%
11/14/2019,"15,192.90","15,164.00","15,221.90","15,106.00",285.46K,-0.19%
11/13/2019,"15,221.90","15,221.90","15,424.90","15,221.90",359.73K,0.00%
11/12/2019,"15,221.90","15,482.90","15,569.90","15,221.90",475.76K,-2.05%
